n,sign,q,value,factors,prime,rough_squarefree_P2
1030,1,13,1060913,7*31*4889,0,0
1030,1,17,1060917,3*11*13*2473,0,0
1030,1,19,1060919,17*17*3671,0,0
1030,1,23,1060923,3*353641,0,0
1030,1,29,1060929,3*3*117881,0,0
1030,1,31,1060931,47*22573,0,1
1030,1,37,1060937,1060937,1,1
1030,1,41,1060941,3*7*19*2659,0,0
1030,1,43,1060943,13*81611,0,1
1030,-1,3,1060897,109*9733,0,1
1030,-1,5,1060895,5*11*19289,0,0
1030,-1,7,1060893,3*3*117877,0,0
1030,-1,11,1060889,97*10937,0,1
1030,-1,13,1060887,3*353629,0,0
1030,-1,17,1060883,1060883,1,1
1030,-1,19,1060881,3*353627,0,0
1030,-1,23,1060877,593*1789,0,1
1030,-1,29,1060871,7*151553,0,1
1030,-1,31,1060869,3*199*1777,0,0
1030,-1,37,1060863,3*353621,0,0
1030,-1,41,1060859,677*1567,0,1
1030,-1,43,1060857,3*3*3*3*7*1871,0,0
1032,1,3,1065027,3*355009,0,0
1032,1,5,1065029,7*152147,0,1
1032,1,7,1065031,11*96821,0,1
1032,1,11,1065035,5*53*4019,0,0
1032,1,13,1065037,1065037,1,1
1032,1,17,1065041,1065041,1,1
1032,1,19,1065043,7*233*653,0,0
1032,1,23,1065047,1065047,1,1
1032,1,29,1065053,11*96823,0,1
1032,1,31,1065055,5*293*727,0,0
1032,1,37,1065061,23*46307,0,1
1032,1,41,1065065,5*277*769,0,0
1032,1,43,1065067,17*31*43*47,0,0
1032,-1,3,1065021,3*355007,0,0
1032,-1,5,1065019,1065019,1,1
1032,-1,7,1065017,1065017,1,1
1032,-1,11,1065013,1065013,1,1
1032,-1,13,1065011,1065011,1,1
1032,-1,17,1065007,19*56053,0,1
1032,-1,19,1065005,5*31*6871,0,0
1032,-1,23,1065001,7*353*431,0,0
1032,-1,29,1064995,5*212999,0,0
1032,-1,31,1064993,251*4243,0,1
1032,-1,37,1064987,7*11*13831,0,0
1032,-1,41,1064983,307*3469,0,1
1032,-1,43,1064981,43*24767,0,1
1034,1,3,1069159,7*13*31*379,0,0
1034,1,5,1069161,3*356387,0,0
1034,1,7,1069163,947*1129,0,1
1034,1,11,1069167,3*11*179*181,0,0
1034,1,13,1069169,53*20173,0,1
1034,1,17,1069173,3*3*3*7*5657,0,0
1034,1,19,1069175,5*5*42767,0,0
1034,1,23,1069179,3*593*601,0,0
1034,1,29,1069185,3*5*13*5483,0,0
1034,1,31,1069187,7*19*8039,0,0
1034,1,37,1069193,1069193,1,1
1034,1,41,1069197,3*356399,0,0
1034,1,43,1069199,1069199,1,1
1034,-1,3,1069153,719*1487,0,1
1034,-1,5,1069151,569*1879,0,1
1034,-1,7,1069149,3*19*18757,0,0
1034,-1,11,1069145,5*7*11*2777,0,0
1034,-1,13,1069143,3*29*12289,0,0
1034,-1,17,1069139,59*18121,0,1
1034,-1,19,1069137,3*3*211*563,0,0
1034,-1,23,1069133,13*82241,0,1
1034,-1,29,1069127,1069127,1,1
1034,-1,31,1069125,3*5*5*5*2851,0,0
1034,-1,37,1069119,3*3*3*3*67*197,0,0
1034,-1,41,1069115,5*37*5779,0,0
1034,-1,43,1069113,3*17*20963,0,0
1036,1,3,1073299,223*4813,0,1
1036,1,5,1073301,3*357767,0,0
1036,1,7,1073303,7*11*53*263,0,0
1036,1,11,1073307,3*71*5039,0,0
1036,1,13,1073309,167*6427,0,1
1036,1,17,1073313,3*3*31*3847,0,0
